web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1616517494-861","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","258.80","237.76"
"1616517494-870","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","195.75","207.39"
"1616517494-863","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","265.47","232.73"
"1616517494-867","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","254.02","287.03"
"1616517494-871","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","189.50","202.67"
"1616517494-873","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","208.67","208.00"
"1616517494-874","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","216.60","206.59"
"1616517494-860","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","241.05","237.12"
"1616517494-872","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","208.59","194.48"
"1616517494-862","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","226.50","253.83"
"1616517494-864","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","310.95","263.36"
"1616517494-865","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","295.26","304.69"
"1616517494-869","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","205.90","215.70"
"1616517494-868","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","215.81","251.02"
"1616517494-866","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","289.20","293.98"
