web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616360622-29","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","161.62","204.71"
"1616360622-32","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","206.75","201.91"
"1616360622-25","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","252.65","293.20"
"1616360622-27","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","224.59","227.07"
"1616360622-26","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","228.50","253.67"
"1616360622-23","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","265.35","263.11"
"1616360622-31","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","203.44","192.47"
"1616360622-20","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","274.78","258.33"
"1616360622-21","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","279.16","273.16"
"1616360622-18","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","260.82","290.11"
"1616360622-19","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","259.52","257.62"
"1616360622-24","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","294.71","261.90"
"1616360622-22","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","264.60","276.97"
"1616360622-17","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 19, 2021","281.22","290.11"
"1616360622-30","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","194.03","166.80"
"1616360622-28","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","201.60","225.09"
